	id	dk1	dk2	z	logFluxUV	logFluxErrUV	logFluxX	logFluxErrX	dk3	dk4	dk5	dk6	dk7
618	134446.09+340533.5	206.19208	34.09266	0.8532	-27.1025	0.00861	-30.94038	0.02776	5	2.02015	0.21742	43.143321	0.194881
619	122923.73+075359.2	187.34889	7.8998	0.8538	-27.3432	0.00957	-31.01418	0.00737	5	1.78317	0.03752	42.644552	0.095867
620	143052.82+324439.9	217.72011	32.74442	0.8538	-27.8859	0.01034	-31.34729	0.02333	5	2.16164	0.20496	42.619289	0.18851
621	075137.06+501430.6	117.904	50.2419	0.8557	-27.8173	0.0134	-31.2529	0.02606	6	1.85123	0.08206	42.277733	0.208264
622	N_176_5	30.8787	-6.92678	0.8561	-27.73111	0.01127	-31.48571	0.0475	4	2.05886	0.26083	44.165707	0.322948
623	015315.32-013046.0	28.31385	-1.51279	0.8569	-27.468	0.01019	-31.36962	0.02735	5	2.18038	0.26745	44.477366	0.192651
624	122922.14+075332.5	187.342	7.89238	0.857	-28.079	0.01936	-31.4757	0.05049	6	1.90018	0.18347	42.675481	0.359403
625	132950.94+581747.2	202.46226	58.29646	0.859	-28.1294	0.01617	-31.52772	0.03044	5	2.06044	0.23286	42.812163	0.238048
626	075821.01+375533.2	119.58757	37.9259	0.8595	-27.418	0.00827	-31.27346	0.02123	5	1.96949	0.18552	44.047992	0.154421
627	014822.30+000014.9	27.0929	0.00416	0.8602	-27.7369	0.01565	-31.3982	0.06548	6	2.28799	0.25648	43.564973	0.442707
628	164733.23+350541.6	251.88846	35.09491	0.8607	-27.6492	0.01131	-31.51877	0.02888	5	2.06319	0.28589	44.719032	0.203522
629	091645.52+415923.6	139.19	41.9899	0.8608	-28.4501	0.02526	-32.0243	0.07048	6	2.29366	0.33406	44.773645	0.483606
630	N_149_16	30.69405	-5.15768	0.861	-27.80952	0.01492	-31.35153	0.02932	4	1.84902	0.14268	42.959938	0.22149
631	212501.07-081000.1	321.25449	-8.16671	0.8623	-27.0954	0.00871	-30.9382	0.0279	5	2.25749	0.18613	43.158013	0.195727
632	021601.11+003727.2	34.00463	0.62425	0.8624	-27.5835	0.01162	-31.39214	0.02136	5	2.24393	0.18461	44.153016	0.159938
633	N_8_10	36.42006	-3.58928	0.8628	-27.34596	0.00812	-31.46556	0.03417	4	2.08345	0.17768	45.609601	0.2348
634	171029.47+590834.8	257.6228	59.14302	0.8637	-27.0262	0.00861	-30.81705	0.02742	5	2.10801	0.28979	42.642461	0.193875
635	073226.57+314212.8	113.11073	31.70357	0.864	-27.8965	0.01285	-31.08722	0.01886	5	1.86885	0.10176	40.861022	0.195206
636	101235.69-010823.2	153.149	-1.13978	0.865	-27.462	0.01235	-31.1302	0.03011	6	1.93673	0.11417	42.923221	0.217523
637	084035.41+412645.5	130.148	41.446	0.8658	-26.8667	0.01102	-31.1109	0.04405	6	2.61079	0.20034	45.233049	0.301801
638	083857.85+193335.7	129.74106	19.55993	0.8666	-27.0961	0.00684	-31.43355	0.03507	5	2.28749	0.52574	46.421429	0.246107
639	094403.48+042342.7	146.015	4.39521	0.8681	-27.5762	0.01073	-30.9993	0.04082	6	1.99376	0.14243	41.592559	0.292566
640	022625.71+030639.2	36.60715	3.11089	0.8719	-27.4417	0.00748	-31.25275	0.02463	5	2.19306	0.20387	43.814407	0.175417
641	015401.31-012159.7	28.50549	-1.36661	0.8724	-27.6553	0.01074	-31.73345	0.04063	5	2.2	0.41963	46.109634	0.276925
642	144957.50+090220.0	222.49	9.03891	0.873	-28.3398	0.02636	-31.938	0.08166	6	2.26663	0.3325	44.656149	0.555212
643	134323.65+001223.3	205.84857	0.20649	0.8731	-27.0908	0.00701	-30.81834	0.01436	5	1.87846	0.09735	42.386502	0.119207
